เลขรับ	การอุทธรณ์ของจำเลย	วันรับสำเนาอุทธรณ์	วันครบแก้อุทธรณ์	วันส่งสำเนาอุทธรณ์จำเลย	วันขอขยายแก้อุทธรณ์	วันครบขอขยายแก้อุทธรณ์	วันแก้อุทธรณ์	การแก้อุทธรณ์
"1142/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1485/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1500/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1534/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1539/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"402/2549"	"ข้อเท็จจริง"	"06/27/06 00:00:00"	"07/12/06 00:00:00"					
"1540/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1561/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1570/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1662/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"1726/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"ว.1173/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"ว.1243/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"ว.1255/2549"	"ข้อเท็จจริง"	"07/18/06 00:00:00"	"08/02/06 00:00:00"					
"2173/2548"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"967/2549"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"1202/2549"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"3765/2548"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"1095/2549"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"1986/2549"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"3452/2548"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"2667/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1021/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"ว.1283/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1009/2547"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"2723/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1666/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"ว.1244/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"2475/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"139/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"				"08/04/06 00:00:00"	
"1836/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1811/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1624/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1436/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1465/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"2314/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"775/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1606/2548"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1349/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"ว.1345/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1382/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"1472/2549"	"ข้อเท็จจริง"	"07/28/06 00:00:00"	"08/12/06 00:00:00"					
"289/2547"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"1970/2547"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"2978/2548"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"1325/2549"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"2306/2548"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"1992/2549"	"ข้อเท็จจริงและข้อกฎหมาย"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"3321/2546"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"1631/2549"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"1053/2547"	"ข้อเท็จจริง"	"08/09/06 00:00:00"	"08/24/06 00:00:00"					
"2930/2547"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"2420/2548"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"3000/2547"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"2071/2549"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"1240/2549"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"984/2549"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"1802/2548"	"ข้อเท็จจริง"	"08/16/06 00:00:00"	"08/31/06 00:00:00"					
"1610/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2726/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2266/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"ว.1284/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1673/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"ว.1340/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"ว.1343/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2102/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"08/09/06 00:00:00"					
"1694/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1096/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"3261/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1304/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1872/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2101/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2140/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1546/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2221/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"3569/2548"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"1383/2549"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"2711/2546"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
"5102/2545"	"ข้อเท็จจริง"	"08/25/06 00:00:00"	"09/09/06 00:00:00"					
